time(Tick),time(s),hip_flexion_r,knee_angle_r,ankle_angle_r,Phase,
0,0.4,19.29527419,-2.57059783,0.46117583,0,1
1,0.41666667,20.08813956,-5.74039131,-0.5485112,0.087266463,1
2,0.43333333,20.78989355,-8.91882957,-1.64408804,0.174532925,1
3,0.45,21.44000176,-12.52018521,-2.21826128,0.261799388,1
4,0.46666667,21.52044497,-15.84587402,-2.21774772,0.34906585,1
5,0.48333333,21.12066465,-18.23977599,-2.07785038,0.436332313,1
6,0.5,20.84985462,-20.41878653,-1.61229213,0.523598776,1
7,0.51666667,20.13267105,-21.75872044,-0.94072087,0.610865238,2
8,0.53333333,19.4466849,-22.75865231,0.04956729,0.698131701,2
9,0.55,18.50691499,-23.07676626,0.96059097,0.785398163,2
10,0.56666667,17.41384468,-23.23932048,2.02663908,0.872664626,2
11,0.58333333,15.85375835,-22.6253432,2.85633049,0.959931089,2
12,0.6,14.28025803,-21.99217191,3.67018796,1.047197551,2
13,0.61666667,12.48261686,-20.92118167,4.26038611,1.134464014,2
14,0.63333333,10.65247567,-19.97737409,4.83959558,1.221730476,3
15,0.65,8.8318448,-18.59517575,5.21586983,1.308996939,3
16,0.66666667,6.83266332,-17.27319339,5.57631154,1.396263402,3
17,0.68333333,5.0133139,-15.92160998,5.84677829,1.483529864,3
18,0.7,3.08625197,-14.37086773,5.99996081,1.570796327,3
19,0.71666667,1.89281683,-13.61881,6.43528559,1.658062789,3
20,0.73333333,0.56775533,-12.63147032,6.72828954,1.745329252,3
21,0.75,-1.41037472,-11.33590755,6.93690926,1.832595715,3
22,0.76666667,-2.82540871,-10.65363268,7.35030533,1.919862177,3
23,0.78333333,-4.2762351,-9.89860598,7.74543059,2.00712864,3
24,0.8,-5.79700882,-8.95326925,8.03344306,2.094395102,3
25,0.81666667,-7.39397466,-8.12212033,8.33189925,2.181661565,3
26,0.83333333,-8.65078118,-7.41514714,8.65543575,2.268928028,3
27,0.85,-10.03790436,-6.65564235,9.0201292,2.35619449,3
28,0.86666667,-11.47191303,-5.80325962,9.30768397,2.443460953,4
29,0.88333333,-12.79549323,-5.20935201,9.74605143,2.530727415,4
30,0.9,-14.03426232,-4.92745106,10.30386954,2.617993878,4
31,0.91666667,-15.62397211,-4.53453823,10.77168837,2.705260341,4
32,0.93333333,-17.13341139,-4.10081468,11.21519338,2.792526803,4
33,0.95,-18.52147277,-4.17904165,11.73730688,2.879793266,4
34,0.96666667,-19.72502869,-4.14597435,12.09928502,2.967059728,4
35,0.98333333,-20.67785312,-4.91881745,12.60016896,3.054326191,4
36,1,-21.43848547,-5.94102045,13.03880048,3.141592654,4
37,1.01666667,-21.87434024,-7.35410271,13.3602875,3.228859116,4
38,1.03333333,-21.97879071,-9.22779942,13.61614313,3.316125579,4
39,1.05,-21.51475794,-11.94096706,13.68915956,3.403392041,4
40,1.06666667,-21.2085911,-14.57990935,13.24509978,3.490658504,5
41,1.08333333,-20.57789408,-18.23647971,12.49192066,3.577924967,5
42,1.1,-19.52073956,-22.73438275,11.17121471,3.665191429,5
43,1.11666667,-18.18191078,-27.97893654,8.95848825,3.752457892,5
44,1.13333333,-16.08713946,-33.92933,5.70937769,3.839724354,5
45,1.15,-13.32938654,-40.23167879,1.54837825,3.926990817,5
46,1.16666667,-10.28908672,-46.25778699,-2.98882342,4.01425728,5
47,1.18333333,-7.48319622,-51.56574244,-6.90344554,4.101523742,5
48,1.2,-4.42401834,-56.57592529,-8.99772574,4.188790205,5
49,1.21666667,-1.58952916,-60.85880878,-9.09737666,4.276056667,6
50,1.23333333,0.84027602,-63.98369783,-7.78777673,4.36332313,6
51,1.25,3.22278648,-66.63487296,-5.70612541,4.450589593,6
52,1.26666667,5.71924436,-68.47294356,-3.55700464,4.537856055,6
53,1.28333333,7.90755693,-69.41954093,-1.74128953,4.625122518,7
54,1.3,9.9747993,-69.56691421,-0.37145918,4.71238898,7
55,1.31666667,12.3542222,-69.21167778,0.62027853,4.799655443,7
56,1.33333333,13.99907905,-67.7252392,1.22241499,4.886921906,7
57,1.35,15.73939687,-65.68745784,1.62318511,4.974188368,7
58,1.36666667,17.10246448,-62.85809655,1.89605611,5.061454831,7
59,1.38333333,20.01810174,-54.91982332,2.56726654,5.148721293,7
60,1.4,20.47637723,-50.00708685,2.56576991,5.235987756,7
61,1.41666667,20.79106998,-44.62673232,2.44857079,5.323254219,7
62,1.43333333,20.59068147,-38.76975241,2.15268517,5.410520681,7
63,1.45,20.5489271,-32.6349315,1.6832955,5.497787144,7
64,1.46666667,19.88677694,-25.85626178,1.07960813,5.585053606,7
65,1.48333333,19.29340437,-19.14776529,0.53667974,5.672320069,8
66,1.5,18.74544079,-12.8386519,0.18632341,5.759586532,8
67,1.51666667,18.19344446,-7.21155133,0.1641618,5.846852994,8
68,1.53333333,17.72372645,-2.56806801,0.37802896,5.934119457,8
69,1.55,17.63128857,0.38825987,0.88102173,6.021385919,8
70,1.56666667,17.74833716,1.89627968,1.19404981,6.108652382,8
71,1.58333333,17.97079785,1.81803755,1.3765614,6.195918845,8
72,1.6,18.60892857,0.12192559,1.12259908,6.283185307,8
